Time,Latitude,Longitude,Magnitude,Depth (km),Place,Year
1970-01-01 00:28:23.940049085,51.1231,-175.4255,3.0,10.0,"118 km SE of Adak, Alaska",1970
1970-01-01 00:28:23.938934590,19.3724994659424,-155.286834716797,2.13,2.73000001907349,"9 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.938406089,60.1634,-152.4645,2.2,93.0,"46 km WNW of Ninilchik, Alaska",1970
1970-01-01 00:28:23.937334850,19.3558330535889,-155.331329345703,2.08,27.5400009155273,"14 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.936590957,31.757,-93.984,2.4,4.2307,"10 km W of Huxley, Texas",1970
1970-01-01 00:28:23.936554387,36.066,-101.906,2.2,6.2115,"8 km E of Cactus, Texas",1970
1970-01-01 00:28:23.935844530,31.724,-93.935,2.3,14.8193,"6 km SW of Huxley, Texas",1970
1970-01-01 00:28:23.935748120,17.888,-66.9261666666667,2.04,9.7,"9 km SSW of Guánica, Puerto Rico",1970
1970-01-01 00:28:23.933946391,31.717,-104.353,2.3,8.6814,"50 km S of Whites City, New Mexico",1970
1970-01-01 00:28:23.933118788,11.7844,124.7993,4.5,9.608,"6 km SW of Silanga, Philippines",1970
1970-01-01 00:28:23.933004857,57.8062,-156.1066,2.2,118.9,"83 km ENE of Ugashik, Alaska",1970
1970-01-01 00:28:23.932689942,-7.9886,111.6142,4.2,153.996,"14 km NW of Trenggalek, Indonesia",1970
1970-01-01 00:28:23.932343429,32.301,141.6645,4.5,31.074,"Izu Islands, Japan region",1970
1970-01-01 00:28:23.932095420,19.2516670227051,-155.410995483398,2.11999989,30.6499996185303,"8 km NE of Pāhala, Hawaii",1970
1970-01-01 00:28:23.932061050,34.1453333333333,-80.7303333333333,2.14,4.43,"6 km ESE of Elgin, South Carolina",1970
1970-01-01 00:28:23.930373827,54.1904,-162.3416,2.6,10.0,"96 km S of King Cove, Alaska",1970
1970-01-01 00:28:23.930042966,-25.919,179.7281,4.1,518.646,south of the Fiji Islands,1970
1970-01-01 00:28:23.929274470,49.3138333333333,-116.721333333333,2.1,1.1,"28 km NW of Creston, Canada",1970
1970-01-01 00:28:23.928304570,19.8770008087158,-155.147994995117,2.25,11.5799999237061,"3 km W of Honomu, Hawaii",1970
1970-01-01 00:28:23.928288843,45.9704,-75.2458,3.2,9.428,"13 km WSW of Notre-Dame-du-Mont-Carmel, Canada",1970
1970-01-01 00:28:23.927788520,19.3893337249756,-155.273162841797,2.00999999,0.930000007152557,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.927391130,19.3873329162598,-155.27799987793,2.02,0.769999980926514,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.927109903,-31.5291,-66.286,4.3,132.833,"73 km NW of Candelaria, Argentina",1970
1970-01-01 00:28:23.926439830,19.05,-65.3536666666667,3.4,11.87,"82 km N of Culebra, Puerto Rico",1970
1970-01-01 00:28:23.926315570,19.1316666666667,-65.2111666666667,3.33,28.28,"92 km N of Culebra, Puerto Rico",1970
1970-01-01 00:28:23.926315060,19.382,-155.281833333333,2.61,1.4,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.926199100,19.1405,-65.3801,3.72,29.0,"92 km NNE of Luquillo, Puerto Rico",1970
1970-01-01 00:28:23.926032281,32.761,-100.641,2.0,8.0212,"17 km NE of Hermleigh, Texas",1970
1970-01-01 00:28:23.925805932,53.4578,-165.3142,3.5,35.0,"81 km SSE of Akutan, Alaska",1970
1970-01-01 00:28:23.925646680,19.1723333333333,-155.371833333333,2.71,30.4,"11 km ESE of Pāhala, Hawaii",1970
1970-01-01 00:28:23.924951160,35.7473333,-117.5703333,3.42,4.46,"15 km W of Searles Valley, CA",1970
1970-01-01 00:28:23.924944040,18.1133333333333,-67.0651666666667,2.15,24.94,"3 km NNE of Sabana Eneas, Puerto Rico",1970
1970-01-01 00:28:23.924609490,19.3838333333333,-155.278166666667,2.57,1.48,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.924109470,19.3831666666667,-155.279833333333,2.29,1.2,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.924078060,19.3888339996338,-155.274337768555,2.22,0.740000009536743,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.923844410,15.7782,147.1162,4.2,37.186,"158 km ENE of Saipan, Northern Mariana Islands",1970
1970-01-01 00:28:23.922844930,19.3651666666667,-155.2955,2.05,2.22,"10 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.922370681,-20.1824,-69.2564,4.3,100.609,"45 km ENE of La Tirana, Chile",1970
1970-01-01 00:28:23.921345520,19.3838333333333,-155.280166666667,2.04,1.52,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.921324910,19.3593330383301,-155.299499511719,2.22,0.769999980926514,"11 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.921254955,60.8926,-151.6023,2.2,76.2,"28 km NW of Nikiski, Alaska",1970
1970-01-01 00:28:23.921145860,-15.1544,-173.8003,4.5,35.0,"88 km N of Hihifo, Tonga",1970
1970-01-01 00:28:23.920845724,32.0391,142.123,4.3,10.0,"Izu Islands, Japan region",1970
1970-01-01 00:28:23.918653335,-15.2741,167.6887,4.7,136.901,"62 km ENE of Luganville, Vanuatu",1970
1970-01-01 00:28:23.917827200,19.3603333333333,-155.2925,2.51,2.01,"11 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.916997350,-54.5762,-23.2713,5.3,10.0,South Sandwich Islands region,1970
1970-01-01 00:28:23.916581962,55.8824,-155.9825,3.4,7.1,"157 km ESE of Chignik, Alaska",1970
1970-01-01 00:28:23.916450619,42.8445,142.4671,4.5,45.185,"17 km SSE of Shimukappu, Japan",1970
1970-01-01 00:28:23.916053970,19.375,-155.276672363281,2.03,1.10000002384186,"8 km SSW of Volcano, Hawaii",1970
1970-01-01 00:28:23.915986452,0.9087,132.683,4.2,10.0,"191 km N of Fef, Indonesia",1970
1970-01-01 00:28:23.915281142,51.8566,-173.8674,2.1,38.0,"44 km SSE of Atka, Alaska",1970
1970-01-01 00:28:23.914552280,19.3826666666667,-155.2835,2.29,0.96,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.914409758,55.747,-158.605,2.4,3.9,"38 km ESE of Perryville, Alaska",1970
1970-01-01 00:28:23.913654780,17.9971666666667,-66.984,2.34,14.29,"6 km SW of Liborio Negron Torres, Puerto Rico",1970
1970-01-01 00:28:23.913568158,2.4949,92.9942,5.7,19.0,off the west coast of northern Sumatra,1970
1970-01-01 00:28:23.913358791,27.7127,143.161,4.5,10.0,"Bonin Islands, Japan region",1970
1970-01-01 00:28:23.913249760,19.3916666666667,-155.279666666667,2.46,1.54,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.913150270,19.3793334960938,-155.281494140625,2.1400001,0.899999976158142,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.912637480,18.3295,-66.3096666666667,3.0,49.35,"1 km SSE of Corozal, Puerto Rico",1970
1970-01-01 00:28:23.910840705,54.4424,-159.6615,2.5,35.0,"113 km SSE of Sand Point, Alaska",1970
1970-01-01 00:28:23.908927710,61.0314,-152.3852,2.0,107.9,"67 km W of Tyonek, Alaska",1970
1970-01-01 00:28:23.908494240,-24.1743,-67.2379,4.2,196.246,"93 km W of San Antonio de los Cobres, Argentina",1970
1970-01-01 00:28:23.908299045,58.2769,-150.9086,2.3,22.6,"101 km ENE of Ouzinkie, Alaska",1970
1970-01-01 00:28:23.908206210,55.249,-159.494,2.3,10.2,"64 km E of Sand Point, Alaska",1970
1970-01-01 00:28:23.908159092,52.2316,-170.4266,2.8,35.0,"132 km SW of Nikolski, Alaska",1970
1970-01-01 00:28:23.908044710,19.3926666666667,-155.277333333333,2.55,1.75,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.906974300,19.3676666666667,-155.296333333333,2.06,2.22,"10 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.906226305,-49.3412,-116.2145,4.8,10.0,southern East Pacific Rise,1970
1970-01-01 00:28:23.905057630,19.3939990997314,-155.278503417969,2.17,0.810000002384186,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.904145497,-49.3266,-116.1747,5.8,10.0,southern East Pacific Rise,1970
1970-01-01 00:28:23.903885153,-24.2522,-67.3349,4.3,198.296,"103 km W of San Antonio de los Cobres, Argentina",1970
1970-01-01 00:28:23.903187530,35.4003333,-118.6451667,3.52,5.21,"25 km SSW of Bodfish, CA",1970
1970-01-01 00:28:23.901405057,-21.7295,-179.1628,4.2,571.099,Fiji region,1970
1970-01-01 00:28:23.901040165,59.1572,-147.7173,2.1,22.0,"102 km S of Chenega, Alaska",1970
1970-01-01 00:28:23.900100276,-15.2188,167.6538,4.2,132.41,"62 km ENE of Luganville, Vanuatu",1970
1970-01-01 00:28:23.899439450,19.3931666666667,-155.280166666667,2.08,1.51,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.898268920,19.3891666666667,-155.2795,2.2,1.66,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.898236990,19.3678340911865,-155.298004150391,2.2,1.58000004291534,"10 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.897151100,19.386999130249,-155.274002075195,2.33,1.69000005722046,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.897142230,19.380500793457,-155.274673461914,2.28,2.07999992370605,"8 km SSW of Volcano, Hawaii",1970
1970-01-01 00:28:23.896460860,19.381,-155.282,2.09,1.16,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.895943380,19.3926666666667,-155.279166666667,2.02,1.36,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.895719970,19.394,-155.279666666667,2.41,1.6,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.895268370,19.1943333333333,-155.460833333333,2.54,31.4,"2 km ESE of Pāhala, Hawaii",1970
1970-01-01 00:28:23.895232976,51.2199,-175.1792,3.8,35.0,"124 km SE of Adak, Alaska",1970
1970-01-01 00:28:23.894896876,-7.1863,155.617,4.3,35.0,"97 km S of Panguna, Papua New Guinea",1970
1970-01-01 00:28:23.894782881,-43.3454,91.6312,4.5,10.0,southeast Indian Ridge,1970
1970-01-01 00:28:23.893998285,51.5112,-179.4672,2.7,67.816,"200 km WSW of Adak, Alaska",1970
1970-01-01 00:28:23.891838800,18.9786666666667,-65.1178333333333,2.92,23.75,"73 km NNW of Charlotte Amalie, U.S. Virgin Islands",1970
1970-01-01 00:28:23.891769899,-10.2544,161.7271,4.0,83.898,"30 km NW of Kirakira, Solomon Islands",1970
1970-01-01 00:28:23.891171490,18.9493333333333,-65.1253333333333,3.43,34.63,"70 km NNW of Charlotte Amalie, U.S. Virgin Islands",1970
1970-01-01 00:28:23.888680442,59.8494,-136.6844,2.0,8.4,"48 km NW of Mosquito Lake, Alaska",1970
1970-01-01 00:28:23.887154275,-59.2078,-24.6568,4.3,10.0,South Sandwich Islands region,1970
1970-01-01 00:28:23.886505670,32.762,-100.644,2.9,6.5783,"17 km NE of Hermleigh, Texas",1970
1970-01-01 00:28:23.886345725,29.293,-97.432,2.4,8.119,"20 km E of Smiley, Texas",1970
1970-01-01 00:28:23.885666380,20.0081666666667,-155.747,2.37,6.77,"7 km WSW of Waimea, Hawaii",1970
1970-01-01 00:28:23.884537306,51.248,-175.1262,4.1,38.777,"115 km ESE of Adak, Alaska",1970
1970-01-01 00:28:23.884366959,54.2414,-162.3843,3.0,35.0,"91 km S of King Cove, Alaska",1970
1970-01-01 00:28:23.884286440,19.1366666666667,-66.515,3.23,28.86,"74 km N of Tierras Nuevas Poniente, Puerto Rico",1970
1970-01-01 00:28:23.884228560,29.298,-97.464,2.3,6.8718,"17 km ENE of Smiley, Texas",1970
1970-01-01 00:28:23.884173557,-15.1112,-173.2989,4.3,31.805,"107 km NNE of Hihifo, Tonga",1970
1970-01-01 00:28:23.880480382,31.718,-104.282,2.0,7.1599,"51 km S of Whites City, New Mexico",1970
1970-01-01 00:28:23.880479347,60.0734,-153.4354,2.0,162.1,"49 km NE of Pedro Bay, Alaska",1970
1970-01-01 00:28:23.880413624,53.6272,-165.5842,2.3,63.9,"57 km SSE of Akutan, Alaska",1970
1970-01-01 00:28:23.877870044,-24.7795,179.9966,4.1,505.096,south of the Fiji Islands,1970
1970-01-01 00:28:23.877601779,51.4486,-172.5757,3.9,40.564,"139 km SE of Atka, Alaska",1970
1970-01-01 00:28:23.877500371,-7.3765,128.6381,4.5,154.099,"220 km NE of Lospalos, Timor Leste",1970
1970-01-01 00:28:23.877257507,69.7469,-142.7482,2.4,4.9,"54 km SE of Kaktovik, Alaska",1970
1970-01-01 00:28:23.877057534,60.622,-150.3639,2.0,40.8,"23 km ENE of Sterling, Alaska",1970
1970-01-01 00:28:23.876634159,-18.0123,173.021,5.1,20.3,Fiji region,1970
1970-01-01 00:28:23.876289157,31.674,-104.529,2.1,5.7717,"57 km SSW of Whites City, New Mexico",1970
1970-01-01 00:28:23.873713868,63.4425,-148.2687,2.1,2.7,"34 km E of Cantwell, Alaska",1970
1970-01-01 00:28:23.872698188,-23.5389,-179.872,4.4,520.507,south of the Fiji Islands,1970
1970-01-01 00:28:23.872438577,19.0123,145.0332,4.2,201.365,"Maug Islands region, Northern Mariana Islands",1970
1970-01-01 00:28:23.872175715,37.8215,-114.2836,2.7,0.4,"9 km ENE of Panaca, Nevada",1970
1970-01-01 00:28:23.871751150,19.4120006561279,-155.285995483398,2.24,1.21000003814697,"6 km WSW of Volcano, Hawaii",1970
1970-01-01 00:28:23.871662554,-37.1994,-95.3975,4.4,10.0,southeast of Easter Island,1970
1970-01-01 00:28:23.870492483,52.8423,-169.105,3.8,71.691,"13 km WSW of Nikolski, Alaska",1970
1970-01-01 00:28:23.869354186,-20.1324,169.703,4.0,121.675,"78 km SE of Isangel, Vanuatu",1970
1970-01-01 00:28:23.867476478,25.0911,96.5235,5.0,10.0,"93 km WSW of Myitkyina, Myanmar",1970
1970-01-01 00:28:23.867210027,2.6211,121.8937,4.4,556.561,"264 km NNW of Gorontalo, Indonesia",1970
1970-01-01 00:28:23.864248220,34.0965,-117.2883333,2.03,13.44,"3 km NE of Colton, CA",1970
1970-01-01 00:28:23.862448586,51.3031,-177.5692,2.6,35.0,"90 km SW of Adak, Alaska",1970
1970-01-01 00:28:23.861338685,-7.1376,67.8494,4.7,10.0,Mid-Indian Ridge,1970
1970-01-01 00:28:23.860253490,35.7446667,-121.2485,2.71,4.99,"12 km NNW of San Simeon, CA",1970
1970-01-01 00:28:23.859370849,-9.4932,148.9788,4.2,10.0,"114 km SE of Popondetta, Papua New Guinea",1970
1970-01-01 00:28:23.859237533,20.4001,145.2178,4.2,10.0,"Maug Islands region, Northern Mariana Islands",1970
1970-01-01 00:28:23.858061609,-20.7909,169.3333,4.2,54.212,"138 km S of Isangel, Vanuatu",1970
1970-01-01 00:28:23.856850256,54.3719,-161.9927,2.5,35.0,"79 km SSE of King Cove, Alaska",1970
1970-01-01 00:28:23.856023584,52.4184,172.307,4.1,10.0,"76 km SW of Attu Station, Alaska",1970
1970-01-01 00:28:23.853916673,57.3736,-153.6809,2.4,2.9,"25 km SE of Larsen Bay, Alaska",1970
1970-01-01 00:28:23.853213662,14.2517,-91.4038,4.1,83.572,"5 km SW of Tiquisate, Guatemala",1970
1970-01-01 00:28:23.852277407,53.367,-166.1412,3.3,35.0,"62 km SSE of Unalaska, Alaska",1970
1970-01-01 00:28:23.852113439,-23.4198,-179.5237,4.3,553.034,south of the Fiji Islands,1970
1970-01-01 00:28:23.851827804,51.3187,-177.6441,2.1,31.1,"93 km SW of Adak, Alaska",1970
1970-01-01 00:28:23.851511194,-52.5241,-75.8496,4.3,10.0,"245 km WSW of Puerto Natales, Chile",1970
1970-01-01 00:28:23.850268697,62.1047,-149.7079,2.1,45.6,"9 km SE of Susitna North, Alaska",1970
1970-01-01 00:28:23.850227667,52.332,172.5519,3.7,10.0,"71 km SW of Attu Station, Alaska",1970
1970-01-01 00:28:23.850075143,51.5525,-177.5025,3.5,55.041,"69 km WSW of Adak, Alaska",1970
1970-01-01 00:28:23.848832890,19.0381666666667,-66.4971666666667,3.21,12.1,"63 km N of Tierras Nuevas Poniente, Puerto Rico",1970
1970-01-01 00:28:23.848600980,32.423,-115.521,2.13,9.61,"18 km SSE of Progreso, B.C., MX",1970
1970-01-01 00:28:23.848189370,32.4108333,-115.5455,2.59,1.07,"19 km S of Progreso, B.C., MX",1970
1970-01-01 00:28:23.847999420,17.9345,-66.2795,2.22,13.01,"5 km SSE of Salinas, Puerto Rico",1970
1970-01-01 00:28:23.847768498,-19.1705,169.0676,4.7,154.522,"46 km NNW of Isangel, Vanuatu",1970
1970-01-01 00:28:23.846356594,60.9276,-151.9936,2.1,96.2,"46 km NW of Nikiski, Alaska",1970
1970-01-01 00:28:23.845772017,6.7248,126.9004,4.6,68.61,"61 km SE of Tarragona, Philippines",1970
1970-01-01 00:28:23.839543107,61.6827,-150.6934,2.3,58.9,"18 km NNW of Susitna, Alaska",1970
1970-01-01 00:28:23.839325822,-7.2313,68.0639,5.0,10.0,Chagos Archipelago region,1970
1970-01-01 00:28:23.838984534,-22.3696,-67.6488,4.2,173.267,"82 km NE of San Pedro de Atacama, Chile",1970
1970-01-01 00:28:23.838932000,17.9755,-66.9091666666667,2.44,11.96,"0 km NNW of Guánica, Puerto Rico",1970
1970-01-01 00:28:23.837958960,17.9218333333333,-66.2835,2.05,14.16,"6 km SSE of Salinas, Puerto Rico",1970
1970-01-01 00:28:23.837738934,54.4434,-159.6362,3.0,35.0,"113 km SSE of Sand Point, Alaska",1970
1970-01-01 00:28:23.836459392,-65.4171,179.4687,4.6,10.0,Balleny Islands region,1970
1970-01-01 00:28:23.835867621,52.5427,-175.9581,3.9,215.901,"87 km NNE of Adak, Alaska",1970
1970-01-01 00:28:23.834346144,31.661,-104.386,2.4,6.6714,"57 km S of Whites City, New Mexico",1970
1970-01-01 00:28:23.833863370,38.8191667,-122.7933333,2.31,3.52,"6 km NW of The Geysers, CA",1970
1970-01-01 00:28:23.833811880,38.814,-122.7988333,3.41,2.08,"6 km NW of The Geysers, CA",1970
1970-01-01 00:28:23.833757833,-15.1101,-173.4651,4.6,10.0,"99 km NNE of Hihifo, Tonga",1970
1970-01-01 00:28:23.833752328,80.5129,-2.3882,4.0,10.0,north of Svalbard,1970
1970-01-01 00:28:23.833575921,46.7912,-112.6273,2.1,9.77,"18 km SSE of Lincoln, Montana",1970
1970-01-01 00:28:23.833461536,29.318,-97.473,2.0,4.9643,"16 km ENE of Smiley, Texas",1970
